"carat","cut","color","clarity","depth","table","price","x","y","z"
0.55,"Ideal","D","VS2",61,56,1645,5.28,5.31,3.23
0.41,"Premium","G","VS1",62.1,60,899,4.72,4.78,2.95
0.41,"Ideal","F","VVS2",61.7,57,1192,4.8,4.73,2.94
1.18,"Ideal","I","SI1",61.5,56,5378,6.77,6.82,4.18
1.01,"Ideal","G","VVS2",60.6,57,7366,6.54,6.5,3.95
0.55,"Premium","F","VS2",61.7,56,1819,5.29,5.25,3.25
2,"Very Good","J","SI2",59.8,60,11792,8.09,8.13,4.85
0.72,"Ideal","E","SI2",61.7,57,2337,5.72,5.78,3.55
0.9,"Very Good","F","VS2",63.2,59,4715,6.08,6.04,3.83
0.3,"Ideal","E","VVS1",61.8,56,956,4.31,4.3,2.66
1.1,"Premium","H","VS2",62.5,58,5729,6.59,6.54,4.1
0.33,"Ideal","F","VVS2",62.4,56,832,4.41,4.43,2.76
1.05,"Ideal","F","VVS1",62.7,57,9784,6.5,6.41,4.05
0.33,"Ideal","G","VVS1",61.9,55,858,4.45,4.5,2.77
1.2,"Very Good","J","SI1",62.5,58,5082,6.74,6.79,4.23
0.56,"Ideal","D","VS2",62.2,56,2066,5.28,5.24,3.27
0.55,"Ideal","E","SI1",61.4,55,1551,5.26,5.29,3.24
0.33,"Very Good","E","VS2",63.1,57,672,4.38,4.43,2.78
1,"Ideal","G","VS2",62.3,56,5824,6.38,6.36,3.97
0.54,"Premium","E","VS1",61.3,56,1960,5.27,5.23,3.22
0.4,"Ideal","I","VVS2",61.6,56,770,4.75,4.76,2.93
0.31,"Premium","J","VS2",62.5,60,380,4.31,4.36,2.71
1.1,"Premium","H","SI2",62.6,57,4558,6.6,6.56,4.12
0.91,"Very Good","D","SI2",62,62,3463,6.16,6.25,3.85
1.56,"Good","J","VS2",57.6,65,7094,7.62,7.6,4.38
2.41,"Ideal","I","SI2",62.5,57,16987,8.57,8.51,5.34
1.01,"Premium","F","VVS2",61.8,59,8319,6.46,6.42,3.98
0.41,"Ideal","I","VVS2",61.6,55,788,4.78,4.8,2.95
0.7,"Premium","H","SI1",61.1,58,1948,5.74,5.79,3.52
2.01,"Very Good","I","VS1",62.9,62,16914,7.98,8.02,5.03
1.51,"Premium","I","SI1",62.2,60,8794,7.3,7.23,4.52
1.58,"Ideal","F","VS2",60,57,13917,7.52,7.58,4.53
0.58,"Ideal","G","VS1",60.6,56,1899,5.43,5.48,3.3
1.5,"Ideal","F","VS1",62.3,56,15851,7.34,7.3,4.56
0.32,"Ideal","G","VS2",61.4,57,720,4.4,4.39,2.7
1.05,"Fair","J","SI2",65.8,59,2789,6.41,6.27,4.18
1.02,"Ideal","F","VS1",62.6,54,8157,6.45,6.41,4.02
0.7,"Very Good","D","VVS2",62.8,60,4022,5.65,5.69,3.56
0.3,"Very Good","D","VS1",63,56,645,4.27,4.33,2.71
0.32,"Ideal","E","VVS2",61.3,55,1010,4.41,4.43,2.71
0.5,"Premium","G","VS1",58.9,59,1629,5.21,5.15,3.05
2.01,"Ideal","H","SI2",61.9,57,14040,8.09,8.06,5
0.71,"Premium","E","VVS2",59,59,3380,5.88,5.82,3.45
0.42,"Ideal","G","VVS2",62.6,55,1103,4.78,4.77,2.99
1,"Premium","G","VS1",62.4,59,6606,6.35,6.4,3.98
0.91,"Premium","H","SI1",60.9,58,3414,6.26,6.22,3.8
0.3,"Ideal","G","IF",62.4,55,1025,4.32,4.3,2.69
0.54,"Ideal","F","VS2",63,57,1837,5.22,5.18,3.28
1,"Premium","G","SI2",61.4,61,3713,6.35,6.32,3.89
1.06,"Ideal","E","SI1",59.6,54,5250,6.64,6.62,3.95
0.37,"Very Good","D","SI1",62.3,56,681,4.61,4.64,2.88
0.39,"Very Good","J","VS1",61,62,616,4.66,4.71,2.86
0.32,"Ideal","F","VS2",61.9,56,645,4.41,4.44,2.74
0.56,"Ideal","G","IF",61.4,57,2442,5.29,5.32,3.26
0.32,"Premium","G","IF",59.4,60,891,4.45,4.47,2.65
2,"Very Good","E","SI2",60.5,60,16064,8.03,8.08,4.87
0.7,"Very Good","F","VS1",59.9,60,2810,5.77,5.84,3.48
0.33,"Very Good","G","SI2",59.4,59,434,4.5,4.52,2.68
0.3,"Very Good","H","VVS1",61.1,61,638,4.27,4.3,2.62
1.51,"Premium","E","SI1",61.5,61,11565,7.41,7.31,4.53
0.7,"Very Good","F","VS2",63,58,2507,5.59,5.62,3.53
0.4,"Ideal","F","VS2",62.6,54,843,4.73,4.78,2.98
0.91,"Premium","F","SI2",60.5,59,2461,6.21,6.19,3.75
0.67,"Ideal","G","VVS1",62.4,55,2577,5.6,5.62,3.5
1.17,"Ideal","G","SI2",62.6,55,5743,6.74,6.78,4.23
0.75,"Good","E","SI1",58.3,60,2923,5.94,5.99,3.48
0.31,"Good","H","VVS2",63.7,55,625,4.28,4.32,2.74
0.3,"Ideal","F","VS2",61.3,55,605,4.3,4.32,2.64
0.3,"Ideal","D","SI1",61.6,56,709,4.34,4.3,2.66
0.31,"Good","E","SI1",63.4,55,544,4.32,4.33,2.74
1.64,"Very Good","F","SI2",63.2,57,8357,7.56,7.47,4.75
1.05,"Premium","E","VS2",62.1,58,7056,6.54,6.5,4.05
0.3,"Very Good","F","SI2",63.3,55,506,4.33,4.29,2.73
0.7,"Premium","F","VS1",59,59,2874,5.79,5.77,3.41
0.3,"Very Good","E","VS2",62.6,58,658,4.25,4.28,2.67
0.9,"Very Good","E","SI2",59.5,61,3139,6.24,6.3,3.73
0.39,"Very Good","F","VS1",57.1,61,1000,4.86,4.91,2.79
1.21,"Premium","G","VS1",62.7,58,8616,6.76,6.85,4.27
0.51,"Premium","G","VS1",61,58,1591,5.2,5.16,3.16
0.6,"Premium","E","VS2",62.7,58,1819,5.34,5.37,3.36
0.51,"Very Good","G","VVS2",62.6,59,1768,5.08,5.11,3.19
0.73,"Very Good","F","VS2",62.7,58,2939,5.73,5.75,3.6
1.19,"Good","E","VS2",57.4,60,7064,7,6.9,3.99
0.51,"Fair","D","SI1",65.2,55,1304,5.05,5.01,3.28
0.3,"Ideal","E","VS2",61.6,56,658,4.27,4.3,2.64
0.31,"Premium","H","VS1",61.1,59,544,4.35,4.36,2.66
1.6,"Premium","E","SI2",59.4,59,10483,7.61,7.55,4.5
0.34,"Very Good","I","SI1",61.7,56,459,4.51,4.54,2.79
1,"Very Good","E","SI1",61.9,62,4864,6.34,6.4,3.94
0.9,"Very Good","E","VS2",62.9,57,4580,6.16,6.18,3.88
0.43,"Ideal","D","SI1",62.5,55,774,4.8,4.83,3.01
0.9,"Good","F","SI2",64.3,57,3267,6.06,6.16,3.93
0.31,"Ideal","D","VS2",62.6,56,734,4.33,4.36,2.72
0.4,"Very Good","E","VS2",60.4,63,791,4.68,4.72,2.84
0.37,"Ideal","G","VVS2",62,56,909,4.62,4.64,2.87
1.51,"Very Good","F","SI1",62.8,59,11560,7.28,7.31,4.58
0.41,"Ideal","G","VS2",62.7,56,1061,4.76,4.71,2.97
0.7,"Ideal","F","VS2",61,55,3468,5.74,5.79,3.52
0.9,"Premium","G","SI2",61.3,55,3226,6.18,6.12,3.77
1.01,"Premium","J","SI2",61.8,60,3499,6.37,6.41,3.95
0.33,"Ideal","D","SI2",62,57,492,4.45,4.46,2.76
0.5,"Ideal","F","SI2",60.9,57,1203,5.16,5.13,3.13
2.01,"Fair","H","SI2",61.2,66,13587,8.21,8.09,4.98
0.32,"Ideal","F","VS2",61.4,57,660,4.4,4.43,2.71
0.31,"Very Good","H","VS2",63.2,57,628,4.35,4.32,2.74
1.05,"Ideal","G","SI1",62.3,55,5361,6.47,6.54,4.05
0.53,"Ideal","H","SI2",61.9,54,1020,5.21,5.23,3.23
0.34,"Ideal","G","VS1",61.3,55,898,4.52,4.55,2.78
0.32,"Ideal","F","VVS2",61.9,57,786,4.36,4.39,2.71
0.8,"Ideal","F","VS2",61.4,56,4816,5.99,6,3.68
0.71,"Very Good","D","SI2",63.3,55,2458,5.72,5.65,3.6
1.33,"Premium","F","SI2",60.7,62,5288,7.12,7.07,4.31
0.51,"Very Good","G","SI1",63.4,56,1122,5.03,5.1,3.21
1.4,"Premium","F","SI2",59.9,60,7479,7.38,7.29,4.39
0.82,"Very Good","H","SI1",60.7,56,2836,6.04,6.06,3.67
